x,y,rl,crosectional_distance,khal_name
732992.8125,2459950.078,-3.39,41,
732990.375,2459948.344,-3.21,44,
732987.9375,2459946.609,-3.58,47,
732985.5,2459944.875,-2.25,50,
732983.0625,2459943.141,-1.83,53,
732980.625,2459941.406,-1.33,56,
732978.1875,2459939.672,-0.83,59,
732975.75,2459937.938,-0.73,62,
732973.3125,2459936.203,0.17,65,
732970.875,2459934.469,0.87,68,
732968.4375,2459932.734,1.17,71,
732966,2459931,2.45,74,
732965.1875,2459930.422,2.44,75,
732963.5625,2459929.266,1.6,77,
732961.125,2459927.531,1.63,80,
732960.3125,2459926.953,1.06,81,
732953,2459921.75,1.01,90,
732935.8689,2460043.393,1.58,0,
732931.9344,2460040.197,1.57,5,
732928,2460037,1.55,10,
732926.4262,2460035.721,1.17,12,
732924.0656,2460033.803,1.07,15,
732921.7049,2460031.885,0.9,18,
732919.3443,2460029.967,0.27,21,
732916.9836,2460028.049,-0.73,24,
732914.623,2460026.131,-0.88,27,
732912.2623,2460024.213,-1.05,30,
732910.6885,2460022.934,-2.83,32,
732909.1148,2460021.656,-3.38,34,
732907.541,2460020.377,-3.53,36,
732905.9672,2460019.098,-3.58,38,
732904.3934,2460017.82,-3.23,40,
732902.8197,2460016.541,-3.04,42,
732901.2459,2460015.262,-2.48,44,
732900.459,2460014.623,-2.04,45,
732898.8852,2460013.344,-1.19,47,
732896.5246,2460011.426,-0.77,50,
732894.1639,2460009.508,-0.63,53,
732891.8033,2460007.59,-0.33,56,
732889.4426,2460005.672,-0.09,59,
732887.082,2460003.754,0.17,62,
732884.7213,2460001.836,0.21,65,
732882.3607,2459999.918,0.71,68,
732880.7869,2459998.639,1.17,70,
732880,2459998,2.16,71,
732879.2131,2459997.361,2.1,72,
732877.6393,2459996.082,0.87,74,
732872.918,2459992.246,0.88,80,
732905.7879,2460094.848,1.24,0,
732898.7576,2460090.97,1.22,8,
732897.8788,2460090.485,1.95,9,
732897,2460090,1.96,10,
732896.1212,2460089.515,1.17,11,
732893.4848,2460088.061,0.47,14,
732890.8485,2460086.606,0.37,17,
732888.2121,2460085.152,0.32,20,
732885.5758,2460083.697,-0.07,23,
732882.9394,2460082.242,-0.28,26,
732880.303,2460080.788,-0.5,29,
732877.6667,2460079.333,-0.9,32,
732875.0303,2460077.879,-1.33,35,
732872.3939,2460076.424,-2,38,
732869.7576,2460074.97,-2.32,41,
732867.1212,2460073.515,-2.58,44,
732864.4848,2460072.061,-2.89,47,
732861.8485,2460070.606,-3.65,50,
732859.2121,2460069.152,-3.65,53,
732856.5758,2460067.697,-3.44,56,
732853.9394,2460066.242,-3.15,59,
732851.303,2460064.788,-2.48,62,
732848.6667,2460063.333,-0.98,65,
732846.0303,2460061.879,-0.07,68,
732845.1515,2460061.394,0.33,69,
732843.3939,2460060.424,0.72,71,
732840.7576,2460058.97,1.17,74,
732839,2460058,2.39,76,
732838.1212,2460057.515,2.35,77,
732837.2424,2460057.03,1.93,78,
732835.4848,2460056.061,1.79,80,
732833.7273,2460055.091,1.68,82,
732831.9697,2460054.121,1.68,84,
732861.8438,2460159.469,1.49,0,
732857,2460159,1.5,5,
732855.0625,2460158.813,1.17,7,
732852.1563,2460158.531,0.72,10,
732849.25,2460158.25,0.42,13,
732846.3438,2460157.969,-0.08,16,
732843.4375,2460157.688,-0.48,19,
732840.5313,2460157.406,-0.83,22,
732837.625,2460157.125,-2.18,25,
732834.7188,2460156.844,-2.83,28,
732831.8125,2460156.563,-3.38,31,
732828.9063,2460156.281,-3.38,34,
732826,2460156,-3.28,37,
732823.0938,2460155.719,-2.78,40,
732819.2188,2460155.344,-1.95,44,
732815.3438,2460154.969,-1.39,48,
732812.4375,2460154.688,-0.83,51,
732809.5313,2460154.406,-0.28,54,
732806.625,2460154.125,-0.09,57,
732804.6875,2460153.938,0.18,59,
732802.75,2460153.75,0.37,61,
732799.8438,2460153.469,0.72,64,
732796.9375,2460153.188,1.17,67,
732795,2460153,2.33,69,
732794.0313,2460152.906,2.33,70,
732792.0938,2460152.719,1.02,72,
732786.2813,2460152.156,1,78,
732783.1194,2460292.91,1.28,0,
732777,2460285,1.29,10,
732776.3881,2460284.209,1.17,11,
732775.1642,2460282.627,1.1,13,
732773.3284,2460280.254,1.02,16,
732771.4925,2460277.881,0.62,19,
732769.6567,2460275.507,-0.15,22,
732767.8209,2460273.134,-0.43,25,
732765.9851,2460270.761,-0.9,28,
732764.1493,2460268.388,-1.89,31,
732762.3134,2460266.015,-2.48,34,
732760.4776,2460263.642,-2.51,37,
732758.6418,2460261.269,-2.16,40,
732756.806,2460258.896,-1.82,43,
732754.9701,2460256.522,-1.55,46,
732753.1343,2460254.149,-1.28,49,
732751.2985,2460251.776,-0.16,52,
732749.4627,2460249.403,0.17,55,
732747.6269,2460247.03,0.42,58,
732745.791,2460244.657,0.39,61,
732743.9552,2460242.284,0.37,64,
