X-ID,Chanage,Directon,UTM_X,UTM_Y,x,y,,Distance,RL_m(PWD),Remarks,Surveyor Name,XsectionNo,origin_x,origin_y,del_s,chn
4,200,L to R,,,735392.1,2465547.7,,21,1.28,,,GBR_4,,,,
4,200,L to R,735394,2465548,735394,2465548,,23,2.2,RB,,GBR_4,,,,
4,200,L to R,,,735395.9,2465548.3,,25,2.23,House,,GBR_4,,,,
5,300,L to R,,,735382.2727,2465447.152,,0,2.53,House,,GBR_5,,,,
5,300,L to R,,,735384.6364,2465447.576,,2,2.53,HBBR,,GBR_5,,,,
5,300,L to R,735387,2465448,735387,2465448,,4,2.49,LB,,GBR_5,,,,
5,300,L to R,,,735388.1818,2465448.212,,5,1.71.,,,GBR_5,,,,
5,300,L to R,,,735389.3636,2465448.424,,6,1.35,,,GBR_5,,,,
5,300,L to R,,,735390.5455,2465448.636,,7,0.88,,,GBR_5,,,,
5,300,L to R,,,735391.7273,2465448.848,,8,0.68,,,GBR_5,,,,
5,300,L to R,,,735392.9091,2465449.061,,9,0.49,,,GBR_5,,,,
5,300,L to R,,,735394.0909,2465449.273,,10,0.35,,,GBR_5,,,,
5,300,L to R,,,735395.2727,2465449.485,,11,0.2,,,GBR_5,,,,
5,300,L to R,,,735396.4545,2465449.697,,12,-0.03,,,GBR_5,,,,
5,300,L to R,,,735398.8182,2465450.121,,14,-0.06,,,GBR_5,,,,
5,300,L to R,,,735401.1818,2465450.545,,16,0.2,,,GBR_5,,,,
5,300,L to R,,,735402.3636,2465450.758,,17,0.15,,,GBR_5,,,,
5,300,L to R,,,735403.5455,2465450.97,,18,0.1,,,GBR_5,,,,
5,300,L to R,,,735405.9091,2465451.394,,20,-0.83,,,GBR_5,,,,
5,300,L to R,,,735407.0909,2465451.606,,21,-0.91,,,GBR_5,,,,
5,300,L to R,,,735408.2727,2465451.818,,22,-0.97,,,GBR_5,,,,
5,300,L to R,,,735409.4545,2465452.03,,23,-0.87,,,GBR_5,,,,
5,300,L to R,,,735410.6364,2465452.242,,24,-0.58,,,GBR_5,,,,
5,300,L to R,,,735411.8182,2465452.455,,25,-0.97,,,GBR_5,,,,
5,300,L to R,,,735413,2465452.667,,26,-1.22,CL,,GBR_5,735370.5714,2465740.571,291.0135724,291.0135724
5,300,L to R,,,735414.1818,2465452.879,,27,-1.25,,,GBR_5,,,,
5,300,L to R,,,735415.3636,2465453.091,,28,-1.34,,,GBR_5,,,,
5,300,L to R,,,735416.5455,2465453.303,,29,-1.07,,,GBR_5,,,,
5,300,L to R,,,735417.7273,2465453.515,,30,-0.9,,,GBR_5,,,,
5,300,L to R,,,735418.9091,2465453.727,,31,-0.58,,,GBR_5,,,,
5,300,L to R,,,735420.0909,2465453.939,,32,-0.29,,,GBR_5,,,,
5,300,L to R,,,735421.2727,2465454.152,,33,0.93,,,GBR_5,,,,
5,300,L to R,,,735422.4545,2465454.364,,34,1.02,,,GBR_5,,,,
