x,y,rl,crosectional_distance,Khal_Name
733792.4706,2459833.941,-0.27,11,10NoSora
733791.5882,2459833.176,-0.45,12,10NoSora
733790.7059,2459832.412,-0.45,13,10NoSora
733789.8235,2459831.647,-0.41,14,10NoSora
733788.9412,2459830.882,-0.4,15,10NoSora
733788.0588,2459830.118,-0.37,16,10NoSora
733787.1765,2459829.353,-0.34,17,10NoSora
733786.2941,2459828.588,-0.33,18,10NoSora
733785.4118,2459827.824,-0.23,19,10NoSora
733784.5294,2459827.059,-0.07,20,10NoSora
733783.6471,2459826.294,-0.04,21,10NoSora
733782.7647,2459825.529,-0.07,22,10NoSora
733781.8824,2459824.765,0.73,23,10NoSora
733781,2459824,1.73,24,10NoSora
733779.2353,2459822.471,1.77,26,10NoSora
733775.7059,2459819.412,1.55,30,10NoSora
733773.9412,2459817.882,1.57,32,10NoSora
733732.5,2459908,0.86,0,10NoSora
733723.75,2459901.333,0.87,10,10NoSora
733722.875,2459900.667,1.54,11,10NoSora
733722,2459900,1.53,12,10NoSora
733721.125,2459899.333,0.73,13,10NoSora
733720.25,2459898.667,0.24,14,10NoSora
733719.375,2459898,0.23,15,10NoSora
733718.5,2459897.333,0.19,16,10NoSora
733717.625,2459896.667,0.19,17,10NoSora
733716.75,2459896,0.13,18,10NoSora
733715.875,2459895.333,0.13,19,10NoSora
733715,2459894.667,0.13,20,10NoSora
733714.125,2459894,-0.02,21,10NoSora
733713.25,2459893.333,0.09,22,10NoSora
733712.375,2459892.667,0.06,23,10NoSora
733711.5,2459892,0.05,24,10NoSora
733710.625,2459891.333,0.12,25,10NoSora
733709.75,2459890.667,0.13,26,10NoSora
733708.875,2459890,0.17,27,10NoSora
733708,2459889.333,0.19,28,10NoSora
733707.125,2459888.667,0.18,29,10NoSora
733706.25,2459888,0.24,30,10NoSora
733705.375,2459887.333,0.27,31,10NoSora
733704.5,2459886.667,0.3,32,10NoSora
733703.625,2459886,0.27,33,10NoSora
733702.75,2459885.333,0.36,34,10NoSora
733701.875,2459884.667,0.73,35,10NoSora
733701,2459884,2.31,36,10NoSora
733699.25,2459882.667,2.31,38,10NoSora
733696.625,2459880.667,1.68,41,10NoSora
733694.875,2459879.333,1.66,43,10NoSora
733693.125,2459878,1.08,45,10NoSora
733690.5,2459876,0.86,48,10NoSora
733702,2459957.211,0.87,0,10NoSora
733692,2459960.368,0.9,10,10NoSora
733691,2459960.684,1.75,11,10NoSora
733690,2459961,1.76,12,10NoSora
733689,2459961.316,0.73,13,10NoSora
